landkreis,benzin,diesel,elektro,gas,hybrid,pih,sonstigeantriebe
"Flensburg, kreisfreie Stadt",27143,16446,144,283,408,117,15
"Kiel, kreisfreie Stadt",73130,35472,352,754,1123,267,18
"Lübeck, kreisfreie Stadt",67344,30211,310,845,754,187,16
"Neumünster, kreisfreie Stadt",27532,14002,71,362,385,59,5
"Regionalverband Saarbrücken, Landkreis",130676,57153,384,814,2236,318,28
"Merzig-Wadern, Landkreis",44525,25778,101,270,644,81,5
"Neunkirchen, Landkreis",60153,24360,126,463,888,178,28
"Saarlouis, Landkreis",92129,39504,201,529,1032,151,38
Saarpfalz-Kreis,66335,29824,207,534,970,136,32
"Sankt Wendel, Landkreis",40999,19577,85,369,486,51,14
"Dithmarschen, Landkreis",48868,31697,242,549,456,88,18
"Herzogtum Lauenburg, Landkreis",75800,39371,320,1165,730,196,13
"Nordfriesland, Landkreis",61129,40041,554,733,552,230,35
"Ostholstein, Landkreis",84216,40321,269,958,582,168,20
"Pinneberg, Landkreis",120945,52537,479,1242,1667,357,29
"Plön, Landkreis",51886,26973,210,508,501,94,13
"Rendsburg-Eckernförde, Landkreis",104810,65736,466,1286,1212,244,22
"Schleswig-Flensburg, Landkreis",72079,53672,350,1023,606,168,27
"Segeberg, Landkreis",108455,55792,505,1341,1347,330,31
"Steinburg, Landkreis",51295,28751,169,666,447,91,16
"Stormarn, Landkreis",99169,49470,486,1138,1320,302,31
"Berlin, kreisfreie Stadt",886950,288648,4886,15215,21811,3538,385
"Brandenburg an der Havel, kreisfreie Stadt",25205,8557,53,220,375,51,15
"Cottbus, kreisfreie Stadt",36060,11733,60,335,536,49,23
"Frankfurt (Oder), kreisfreie Stadt",21315,6161,35,317,261,40,16
"Potsdam, kreisfreie Stadt",52739,20877,256,811,811,201,34
"Barnim, Landkreis",75111,27689,201,1318,1006,160,34
"Dahme-Spreewald, Landkreis",70534,30073,208,1347,1209,182,36
"Elbe-Elster, Landkreis",43448,18423,89,592,506,46,35
"Havelland, Landkreis",65470,25884,187,1013,1139,129,32
"Märkisch-Oderland, Landkreis",82958,30996,162,1376,1136,171,45
"Oberhavel, Landkreis",86831,32432,252,1559,1291,176,34
"Oberspreewald-Lausitz, Landkreis",45744,18724,45,533,570,52,32
"Oder-Spree, Landkreis",75154,29550,140,1123,782,119,32
"Ostprignitz-Ruppin, Landkreis",38473,18688,76,637,284,60,19
"Potsdam-Mittelmark, Landkreis",85393,39990,340,1288,979,244,39
"Prignitz, Landkreis",30277,14577,43,358,261,33,14
"Spree-Neiße, Landkreis",51027,18502,96,528,415,61,28
"Teltow-Fläming, Landkreis",69862,30528,187,1221,790,185,30
"Uckermark, Landkreis",48724,18339,91,588,570,60,23
"Rostock, kreisfreie Stadt",59682,23838,140,692,820,111,38
"Schwerin, kreisfreie Stadt",30044,13108,69,394,459,65,24
"Mecklenburgische Seenplatte, Landkreis",94893,46919,129,970,1060,122,42
"Rostock, Landkreis",79097,44400,168,920,870,173,48
"Vorpommern-Rügen, Landkreis",81072,39676,154,802,929,127,34
"Nordwestmecklenburg, Landkreis",58210,30374,121,909,451,84,19
"Vorpommern-Greifswald, Landkreis",85320,37566,117,891,952,100,44
"Ludwigslust-Parchim, Landkreis",80214,45389,105,1227,637,91,53
"Chemnitz, kreisfreie Stadt",89883,33624,238,821,1231,166,59
Erzgebirgskreis,145239,54549,167,1104,1080,194,67
"Mittelsachsen, Landkreis",125440,51290,179,1472,1048,147,75
Vogtlandkreis,98197,37065,142,747,968,119,40
"Zwickau, Landkreis",135041,47744,267,1193,1305,207,75
"Dresden, kreisfreie Stadt",157940,64264,629,1831,3236,421,98
"Bautzen, Landkreis",128342,49404,207,1385,1267,172,90
"Görlitz, Landkreis",107301,34039,139,1047,743,115,82
"Meißen, Landkreis",96092,39011,185,976,1321,123,67
"Sächsische Schweiz-Osterzgebirge, Landkreis",101443,38554,191,1026,1310,162,66
"Leipzig, kreisfreie Stadt",165623,58036,743,2235,2954,376,107
"Leipzig, Landkreis",106157,43675,250,1459,1049,205,65
"Nordsachsen, Landkreis",80670,33005,101,868,696,113,34
"Dessau-Roßlau, kreisfreie Stadt",31102,10054,68,362,450,45,27
"Halle (Saale), kreisfreie Stadt",70293,21800,97,814,1032,135,58
"Magdeburg, kreisfreie Stadt",80353,28884,265,777,922,191,43
Altmarkkreis Salzwedel,31763,18311,57,408,269,43,18
"Anhalt-Bitterfeld, Landkreis",67778,23791,83,488,589,68,42
"Börde, Landkreis",71412,33002,125,803,433,104,33
Burgenlandkreis,73296,27037,105,901,628,124,63
"Harz, Landkreis",83829,37091,102,1088,741,136,55
"Jerichower Land, Landkreis",37128,16657,55,348,376,42,23
"Mansfeld-Südharz, Landkreis",56062,22631,71,413,537,53,31
Saalekreis,81127,31072,121,884,1007,143,50
Salzlandkreis,75804,27809,60,829,788,63,65
"Stendal, Landkreis",41319,21398,55,456,410,46,15
"Wittenberg, Landkreis",54386,19605,68,573,631,64,33
"Erfurt, kreisfreie Stadt",66449,28790,260,719,835,228,31
"Gera, kreisfreie Stadt",32770,12196,47,323,403,48,12
"Jena, kreisfreie Stadt",30253,13843,102,297,583,93,18
"Suhl, kreisfreie Stadt",13743,6161,15,133,277,21,9
"Weimar, kreisfreie Stadt",20088,8716,1552,208,296,62,13
"Eichsfeld, Landkreis",38462,20717,63,558,239,76,13
"Nordhausen, Landkreis",32946,13544,71,302,236,52,11
