landkreis,benzin,diesel,elektro,gas,hybrid,pih,sonstigeantriebe
"Flensburg, kreisfreie Stadt",60.918843702307214,36.91085375706976,0.32318879612173446,0.6351557590447976,0.915701589011581,0.26259089684890924,0.033665499596014004
"Kiel, kreisfreie Stadt",65.8141041794161,31.923395370603693,0.3167860614132978,0.6785701429137118,1.0106555311566292,0.24028942726520033,0.01619928723136182
"Lübeck, kreisfreie Stadt",67.56900478593717,30.31193875605767,0.3110357490443176,0.8478232514272528,0.7565192089658562,0.18762479055253997,0.016053458015190585
"Neumünster, kreisfreie Stadt",64.90946812523576,33.01112787627311,0.1673896642776311,0.8534515277253867,0.907676348547718,0.1390984534138061,0.011788004526593739
"Regionalverband Saarbrücken, Landkreis",68.19930170294714,29.82793083832179,0.20040812279172687,0.4248234686262128,1.1669597983393265,0.16596297668689883,0.014613092286896754
"Merzig-Wadern, Landkreis",62.35645061901294,36.101618956921186,0.14144865833846842,0.37813007674640076,0.9019102571284523,0.11343902302392024,0.007002408828637051
"Neunkirchen, Landkreis",69.78630098844494,28.26117221216762,0.14617847695948769,0.5371478954939904,1.0302102185716275,0.20650610237133976,0.03248410599099726
"Saarlouis, Landkreis",68.9670918672895,29.57240388070427,0.15046712181099534,0.3960055096418733,0.7725476104922745,0.11303748951970295,0.028446520541382206
Saarpfalz-Kreis,67.66253901548379,30.42085721862951,0.2111426181684653,0.5446867541157511,0.989412268712132,0.13872172014932985,0.032640404741018786
"Sankt Wendel, Landkreis",66.57735340445917,31.790649713385623,0.1380295870479531,0.5992107955375846,0.7892044624153555,0.08281775222877187,0.022734284925545217
"Dithmarschen, Landkreis",59.65477672794746,38.69357162040089,0.2954173685881003,0.6701823774994506,0.5566542151908006,0.1074244976684001,0.021973192704900023
"Herzogtum Lauenburg, Landkreis",64.45852289638165,33.480164973000555,0.27212041328287767,0.9906883796079765,0.6207746928015647,0.16667375313576258,0.011054891789616906
"Nordfriesland, Landkreis",59.19108391269826,38.77161725119585,0.5364370509518369,0.7097623796889827,0.5345004551000252,0.22270852295834384,0.0338904274067045
"Ostholstein, Landkreis",66.55602446773199,31.865743594606982,0.21259108223876588,0.7571087612815528,0.4599554269998578,0.1327706387216084,0.015806028419239098
"Pinneberg, Landkreis",68.23182290021212,29.63905312090987,0.2702306268899219,0.700681500203096,0.9404477140407095,0.20140361962359526,0.016360518120684207
"Plön, Landkreis",64.70786306665836,33.638461058801525,0.2618943692710607,0.6335349504271373,0.6248051381181019,0.11722890814990335,0.016212508573922802
"Rendsburg-Eckernförde, Landkreis",60.313276862167385,37.82800847067489,0.26816131111315716,0.7400331461191418,0.6974495902771384,0.14041064358714667,0.012659976061136176
"Schleswig-Flensburg, Landkreis",56.34473324213406,41.95583349618917,0.27359781121751026,0.79968731678718,0.4737150674223178,0.13132694938440492,0.021106116865350792
"Segeberg, Landkreis",64.6331070732594,33.24890793261065,0.3009517225761467,0.7991609108408173,0.802736574871425,0.19666152168342266,0.0184742641581397
"Steinburg, Landkreis",62.98888684226684,35.30545834100817,0.20752747590102538,0.8178301713022655,0.5489040338920612,0.11174556394670597,0.01964757168293731
"Stormarn, Landkreis",65.27883830537928,32.56404855314779,0.3199136364833198,0.7490981858395429,0.8689012348929671,0.19879407040733038,0.020406013849759076
"Berlin, kreisfreie Stadt",72.61552618932025,23.63191431703581,0.4000219414409141,1.2456679981628136,1.785689432003229,0.28965976848504993,0.03152035355193449
"Brandenburg an der Havel, kreisfreie Stadt",73.10882933054879,24.820164752291447,0.15373013110569672,0.6381250725142128,1.08771319178559,0.14792899408284024,0.043508527671423596
"Cottbus, kreisfreie Stadt",73.89949995901304,24.045003688826952,0.1229608984342979,0.6865316829248299,1.098450692679728,0.1004180670546766,0.04713501106648086
"Frankfurt (Oder), kreisfreie Stadt",75.73281222241961,21.890211405222953,0.12435601350151003,1.1263101794279624,0.9273405578255463,0.14212115828744004,0.05684846331497601
"Potsdam, kreisfreie Stadt",69.64174886767289,27.56803866418413,0.3380475115213459,1.0709239525148886,1.0709239525148886,0.26542011646793173,0.04489693512392875
"Barnim, Landkreis",71.18244107696245,26.240771804130063,0.19048702129474313,1.249064149584435,0.9533828030970726,0.15163145973710895,0.03222168519413565
"Dahme-Spreewald, Landkreis",68.0902412418307,29.031074728011664,0.20079352054754848,1.3003311162382105,1.1671123381826254,0.17569433047910493,0.03475272471015262
"Elbe-Elster, Landkreis",68.8132532982784,29.178479228369152,0.1409588368520249,0.9376138361393116,0.8014064207542089,0.07285512915947355,0.05543325044742552
"Havelland, Landkreis",69.75728258784922,27.57900568968824,0.1992456368401986,1.0793359899418244,1.213587060753937,0.1374475248790675,0.034095510047520615
"Märkisch-Oderland, Landkreis",70.9989387559481,26.52767792954709,0.1386464003286433,1.177638560816131,0.9722364862551779,0.14634897812467906,0.0385128889801787
"Oberhavel, Landkreis",70.83907811543952,26.45890271262492,0.20558841525596572,1.2718743626351214,1.053232714664491,0.1435855598613094,0.027738119518662042
"Oberspreewald-Lausitz, Landkreis",69.62557077625571,28.49923896499239,0.0684931506849315,0.8112633181126332,0.8675799086757991,0.0791476407914764,0.0487062404870624
"Oder-Spree, Landkreis",70.30308699719365,27.642656688493922,0.13096351730589337,1.050514499532273,0.7315247895229187,0.11131898971000935,0.029934518241347054
"Ostprignitz-Ruppin, Landkreis",66.06281230145784,32.08956505314491,0.1305012277418136,1.0938063430465168,0.4876624826141457,0.10302728505932654,0.0326253069354534
"Potsdam-Mittelmark, Landkreis",66.57129715528599,31.17569558675637,0.2650596774067808,1.0041084249998051,0.7632159534742308,0.19021929790368977,0.030403904173130745
"Prignitz, Landkreis",66.45084827601343,31.9930645479885,0.09437482167548229,0.7857252595307596,0.5728332199372297,0.07242718872769571,0.030726686126901215
"Spree-Neiße, Landkreis",72.21789773129343,26.18565747201268,0.13586764227182022,0.7472720324950112,0.587344495237556,0.08633256436021908,0.03962806232928089
"Teltow-Fläming, Landkreis",67.95716078324563,29.695631450444054,0.18190130638210947,1.187708529906715,0.7684600643950079,0.17995583786465374,0.029182027761835743
"Uckermark, Landkreis",71.23912566708093,26.8133635499671,0.13305066159807005,0.859711967249068,0.8333942539659331,0.08772571094378244,0.033628189195116606
"Rostock, kreisfreie Stadt",69.94995370424631,27.93919433668147,0.16408621558584638,0.8110547227528979,0.9610764055742432,0.13009692807163534,0.04453768708758688
"Schwerin, kreisfreie Stadt",68.02979870026947,29.68095464529131,0.1562393859112832,0.8921495369426895,1.0393315671489707,0.14718203020628126,0.054344134230011554
"Mecklenburgische Seenplatte, Landkreis",65.83619523363512,32.55212127519339,0.08949942761993965,0.6729801921809415,0.735421653311132,0.08464286953203594,0.02913934852742221
"Rostock, Landkreis",62.93723543079028,35.32894108660365,0.13367707438174353,0.7320411216143098,0.6922562780483147,0.13765555873834304,0.03819344982335529
"Vorpommern-Rügen, Landkreis",66.0227698421747,32.31102496864668,0.12541329380914376,0.6531263742528137,0.7565516230434711,0.10342524879065752,0.027688649282538235
"Nordwestmecklenburg, Landkreis",64.55727087214976,33.68600833998758,0.1341939490728418,1.0081181793984562,0.5001774465442286,0.09315943571998936,0.021071777127140447
"Vorpommern-Greifswald, Landkreis",68.26146091687335,30.05520441635331,0.09360748859908792,0.712857028562285,0.76166093287463,0.08000640051204096,0.03520281622529803
"Ludwigslust-Parchim, Landkreis",62.80653950953678,35.53900842494284,0.08221366156158978,0.9607253593911491,0.49876288014031134,0.07125184002004448,0.04149832440727865
"Chemnitz, kreisfreie Stadt",71.3232610179175,26.681055688689277,0.18885591404675375,0.6514735522369111,0.9768135722334195,0.13172303248639128,0.046817222389741474
Erzgebirgskreis,71.75839920948617,26.951086956521742,0.08250988142292491,0.5454545454545455,0.5335968379446641,0.0958498023715415,0.033102766798418976
"Mittelsachsen, Landkreis",69.82427039092462,28.549799333151498,0.09963763073960066,0.8193664382608502,0.5833532794139749,0.0818253168643648,0.04174761064508408
