landkreis,euro1,euro2,euro3,euro4,euro5,euro6,euro6dt,euro6d,sonstigeemissionsgruppen
"Flensburg, kreisfreie Stadt",406,2422,3230,11819,11510,11068,3243,42,816
"Kiel, kreisfreie Stadt",1349,7107,8340,30078,27440,26605,7943,236,2018
"Lübeck, kreisfreie Stadt",1318,6480,7583,27856,24842,23232,6423,72,1861
"Neumünster, kreisfreie Stadt",408,2802,3636,12137,10355,9491,2893,89,605
"Regionalverband Saarbrücken, Landkreis",2501,11795,16570,50223,47692,45627,13040,436,3725
"Merzig-Wadern, Landkreis",726,3855,5555,18719,19892,16823,4400,209,1225
"Neunkirchen, Landkreis",933,5051,6887,22752,22983,21037,5105,137,1311
"Saarlouis, Landkreis",1682,7239,10496,36291,35130,31020,9035,134,2557
Saarpfalz-Kreis,1153,5733,7831,25407,25945,24137,5981,211,1640
"Sankt Wendel, Landkreis",582,3419,4354,16241,17440,14997,3484,78,986
"Dithmarschen, Landkreis",895,5893,7362,23580,21824,17307,3587,74,1396
"Herzogtum Lauenburg, Landkreis",1523,7277,8711,31717,32064,27750,6172,81,2300
"Nordfriesland, Landkreis",1256,7372,9034,27878,27122,22781,5049,96,2686
"Ostholstein, Landkreis",1742,8299,9736,34130,34164,29288,6672,68,2435
"Pinneberg, Landkreis",1903,10213,12853,46107,46582,44088,11916,200,3394
"Plön, Landkreis",901,5491,6511,22122,21505,18174,3896,82,1503
"Rendsburg-Eckernförde, Landkreis",1883,11154,14113,46932,47235,39540,9337,194,3388
"Schleswig-Flensburg, Landkreis",1405,9011,11780,35993,34350,26922,5840,69,2555
"Segeberg, Landkreis",1819,9804,12563,44168,44591,41001,10517,177,3161
"Steinburg, Landkreis",941,5409,6866,22785,21572,18258,3950,114,1540
"Stormarn, Landkreis",1967,8627,10200,38063,39414,39421,10505,265,3454
"Berlin, kreisfreie Stadt",17262,82664,93049,322868,281796,310077,86299,1850,25568
"Brandenburg an der Havel, kreisfreie Stadt",322,2155,2646,9694,9056,7967,2135,61,440
"Cottbus, kreisfreie Stadt",522,3098,3647,13897,12837,11272,2751,61,711
"Frankfurt (Oder), kreisfreie Stadt",262,1651,1991,7674,7496,7019,1687,41,324
"Potsdam, kreisfreie Stadt",751,3997,4827,19556,20393,19554,5179,132,1340
"Barnim, Landkreis",1173,7076,8306,29337,28065,24064,5470,76,1952
"Dahme-Spreewald, Landkreis",1282,7083,8136,28095,27199,24324,5628,161,1681
"Elbe-Elster, Landkreis",1040,5334,5680,18786,16252,12328,2554,49,1116
"Havelland, Landkreis",1090,5975,7357,26197,24620,21762,4927,101,1825
"Märkisch-Oderland, Landkreis",1475,7991,9411,32358,30352,26329,5921,134,2873
"Oberhavel, Landkreis",1566,8039,9474,34029,32244,27946,5831,155,3291
"Oberspreewald-Lausitz, Landkreis",917,4570,5207,18350,17526,14637,3267,66,1160
"Oder-Spree, Landkreis",1218,6813,8312,29449,28833,25168,5248,98,1761
"Ostprignitz-Ruppin, Landkreis",655,3999,5000,17617,15625,11526,2637,74,1104
"Potsdam-Mittelmark, Landkreis",1456,7423,9192,34132,34959,31076,7147,221,2667
"Prignitz, Landkreis",581,3371,3776,13710,12268,8911,2116,43,787
"Spree-Neiße, Landkreis",992,5303,5796,21143,18818,14127,2948,45,1485
"Teltow-Fläming, Landkreis",1369,6835,7653,28112,27586,23742,5331,133,2042
"Uckermark, Landkreis",758,4558,5648,20436,18259,14148,3165,85,1338
"Rostock, kreisfreie Stadt",549,3845,5305,22695,24204,21622,5989,139,973
"Schwerin, kreisfreie Stadt",322,2017,2946,11923,12275,10873,3307,104,396
"Mecklenburgische Seenplatte, Landkreis",1266,8329,11418,41923,40235,31723,7075,161,2005
"Rostock, Landkreis",1022,6271,8852,33969,36309,30368,6991,132,1762
"Vorpommern-Rügen, Landkreis",961,6280,8869,33650,35414,29178,6496,162,1784
"Nordwestmecklenburg, Landkreis",753,4765,6499,24777,26264,20892,4658,83,1477
"Vorpommern-Greifswald, Landkreis",1213,7405,9733,36424,35135,27527,5852,120,1581
"Ludwigslust-Parchim, Landkreis",1160,7160,10337,37806,36779,27099,5182,95,2098
"Chemnitz, kreisfreie Stadt",910,5569,7639,31750,34509,33666,9987,283,1709
Erzgebirgskreis,1681,9266,12487,53782,58738,51664,11715,264,2803
"Mittelsachsen, Landkreis",1649,9569,12701,51409,50827,41332,9312,187,2665
Vogtlandkreis,1309,6690,8502,36007,38160,35343,8606,112,2549
"Zwickau, Landkreis",1478,8553,11165,49415,52516,47959,11532,196,3018
"Dresden, kreisfreie Stadt",2097,11973,14872,59227,59587,58957,17335,555,3816
"Bautzen, Landkreis",1889,11408,13911,53159,48205,39396,9677,250,2972
"Görlitz, Landkreis",1610,10302,11590,44533,37090,29151,6817,129,2244
"Meißen, Landkreis",1703,9258,10592,39402,35891,31178,7235,195,2321
"Sächsische Schweiz-Osterzgebirge, Landkreis",1594,8665,10720,40855,38693,32197,7533,141,2354
"Leipzig, kreisfreie Stadt",2222,12328,15776,61211,58600,58175,17473,456,3833
"Leipzig, Landkreis",1629,8559,10816,42745,41085,37083,7976,186,2781
"Nordsachsen, Landkreis",1416,6862,8293,32629,30756,26743,6322,142,2324
"Dessau-Roßlau, kreisfreie Stadt",363,2327,2901,11121,11576,10651,2586,104,479
"Halle (Saale), kreisfreie Stadt",874,4550,6077,25171,25299,24677,6316,162,1103
"Magdeburg, kreisfreie Stadt",1056,5368,7146,29496,30235,27703,7551,194,2686
Altmarkkreis Salzwedel,603,3550,3899,14491,14374,10913,2034,28,977
"Anhalt-Bitterfeld, Landkreis",994,5274,6522,25579,25657,22755,4812,80,1166
"Börde, Landkreis",980,5742,7143,29460,30495,25432,5043,93,1524
Burgenlandkreis,967,5445,7122,28515,28446,24539,5654,78,1388
"Harz, Landkreis",1067,6333,8290,32936,34620,30751,7095,135,1815
"Jerichower Land, Landkreis",752,3295,4182,15240,14872,12319,2551,56,1362
"Mansfeld-Südharz, Landkreis",926,4303,5209,20846,22210,20527,4563,83,1131
Saalekreis,1036,5727,7372,29721,31763,30145,7027,126,1487
Salzlandkreis,1021,5944,7425,29394,29453,25677,5249,100,1155
"Stendal, Landkreis",750,4449,5252,18590,17494,13176,2769,58,1161
"Wittenberg, Landkreis",941,4923,5935,20891,20310,17545,3599,67,1149
"Erfurt, kreisfreie Stadt",789,4446,5763,24349,26047,26701,7688,188,1341
"Gera, kreisfreie Stadt",368,2142,2856,11558,12646,12191,3269,63,706
"Jena, kreisfreie Stadt",559,2025,2703,10797,12023,12543,3713,82,744
"Suhl, kreisfreie Stadt",130,646,959,4177,6129,6321,1700,36,261
"Weimar, kreisfreie Stadt",271,1361,1707,7249,7936,7971,2414,55,1971
"Eichsfeld, Landkreis",555,2680,3599,16135,17817,15096,3015,50,1181
"Nordhausen, Landkreis",399,2493,3157,13261,13309,11101,2721,75,646
Wartburgkreis,616,3381,4598,19299,21942,18929,3991,104,1061
Unstrut-Hainich-Kreis,482,2796,3726,15939,16154,13776,2975,90,840
Kyffhäuserkreis,500,2676,3028,12242,12433,10359,2239,43,870
"Schmalkalden-Meiningen, Landkreis",642,3364,4733,18903,22094,20373,4678,91,1262
"Gotha, Landkreis",607,3503,4587,19567,21870,19929,4733,88,1239
"Sömmerda, Landkreis",360,2004,2616,10915,11815,9741,2281,61,586
"Hildburghausen, Landkreis",290,1679,2169,10045,11904,10159,2478,35,561
Ilm-Kreis,550,2866,3406,14602,16855,15583,3754,107,1084
"Weimarer Land, Landkreis",467,2303,3020,12215,13463,12896,2765,46,1178
"Sonneberg, Landkreis",243,1429,1809,8173,10242,10079,2511,43,428
"Saalfeld-Rudolstadt, Landkreis",499,2907,3631,15365,17267,15910,3752,73,942
Saale-Holzland-Kreis,431,2345,3242,13100,13855,12810,2793,70,823
Saale-Orla-Kreis,435,2393,3265,13324,14724,12643,2746,68,873
"Greiz, Landkreis",530,2902,3811,15976,16884,15369,3650,55,1119
"Altenburger Land, Landkreis",502,2656,3382,14535,13784,12445,3359,60,696
"Hamburg, kreisfreie Stadt",10691,43796,51387,184677,179545,208134,101960,2623,21383
"Braunschweig, kreisfreie Stadt",1531,7245,7219,30504,33187,38442,18193,686,5808
"Salzgitter, kreisfreie Stadt",659,3653,4219,16217,14818,12506,2835,54,832
"Wolfsburg, kreisfreie Stadt",992,3364,2742,13355,16042,22369,77734,364,3548
"Gifhorn, Landkreis",1201,6887,6635,26497,30017,28047,6278,34,1879
"Goslar, Landkreis",871,4613,5329,20733,21952,20541,4824,88,1287
"Helmstedt, Landkreis",767,3707,3416,13341,15210,14898,3189,85,1058
"Northeim, Landkreis",1139,5947,6325,23790,22579,20132,5430,77,1983
"Peine, Landkreis",937,6083,6182,24217,22523,18552,4143,72,1450
"Wolfenbüttel, Landkreis",890,4744,4934,19532,20876,18215,4027,43,1415
"Göttingen, Landkreis",2540,12047,12944,49065,47572,44001,10604,187,4378
"Region Hannover, Landkreis",7485,38147,40780,154673,144820,146246,40896,671,11054
"Diepholz, Landkreis",1443,8721,10781,39958,38204,31476,7259,145,2534
"Hameln-Pyrmont, Landkreis",1347,6809,7323,25822,23136,19874,4530,82,3092
"Hildesheim, Landkreis",1856,10239,11154,44386,42900,38509,8964,99,2812
"Holzminden, Landkreis",738,3263,3440,12103,11051,10331,2526,45,1356
"Nienburg (Weser), Landkreis",903,6003,6548,22842,20564,15580,3277,44,1487
"Schaumburg, Landkreis",1373,7613,8051,28584,26192,22013,4919,61,2311
"Celle, Landkreis",1232,7668,8536,29886,29413,24638,6121,43,1876
"Cuxhaven, Landkreis",1205,8077,10068,35451,34189,28098,5866,98,2242
"Harburg, Landkreis",1880,9383,11318,41178,45149,42137,10504,168,4261
"Lüchow-Dannenberg, Landkreis",463,2858,3172,9242,7740,5548,1215,14,562
"Lüneburg, Landkreis",1139,6294,7726,27257,27993,25074,6178,102,2061
"Osterholz, Landkreis",765,4628,5634,20735,19429,16387,3458,77,1258
"Rotenburg (Wümme), Landkreis",1070,7566,8476,30872,30120,25987,6544,124,1752
Heidekreis,1062,6218,7181,24859,23556,18361,4089,56,2460
"Stade, Landkreis",1234,7371,8854,33544,34438,29700,7773,168,2211
"Uelzen, Landkreis",633,3927,4303,15577,14888,12933,3384,51,927
"Verden, Landkreis",898,4984,5991,24045,23926,19896,5026,92,1591
"Delmenhorst, kreisfreie Stadt",353,2696,3445,12439,10608,9536,2462,46,766
"Emden, kreisfreie Stadt",195,1386,1706,6837,6376,6231,1533,21,328
"Oldenburg (Oldenburg), kreisfreie Stadt",1058,5285,6082,22563,22902,22290,6099,181,2228
"Osnabrück, kreisfreie Stadt",991,5126,5839,22147,20115,22437,6565,251,1711
"Wilhelmshaven, kreisfreie Stadt",370,2599,3438,11383,10392,9333,2317,55,509
"Ammerland, Landkreis",806,4767,5943,21464,22067,19037,4053,85,1678
"Aurich, Landkreis",1193,7847,9158,33543,31412,26035,5470,103,1934
"Cloppenburg, Landkreis",824,5961,8378,29306,29459,20836,3798,83,1991
