landkreis,euro1,euro2,euro3,euro4,euro5,euro6,euro6dt,euro6d,sonstigeemissionsgruppen
"Flensburg, kreisfreie Stadt",0.9112128557321124,5.435856001436394,7.249304246341683,26.5261693150193,25.832660023341415,24.84064996857887,7.2784810126582276,0.09426339886883921,1.831403178023162
"Kiel, kreisfreie Stadt",1.2140465819503943,6.396018575182692,7.505669750530977,27.0690089636056,24.694913423809354,23.94344648835451,7.1483854710392745,0.21239065481118832,1.8161200907160087
"Lübeck, kreisfreie Stadt",1.3224036040013245,6.501650496152187,7.6083357580743876,27.949070404446807,24.92500025083528,23.30962103805673,6.444460051973071,0.07224056106835762,1.867217835391855
"Neumünster, kreisfreie Stadt",0.961901169370049,6.605997736703132,8.572236891738966,28.61420218785364,24.41295737457563,22.375990192380236,6.820539419087137,0.20982648057336853,1.4263485477178424
"Regionalverband Saarbrücken, Landkreis",1.305262278911742,6.1557651258552575,8.647819256924258,26.211190497314846,24.89027133381,23.81255577765136,6.805525836469059,0.22754672275310658,1.9440631703103717
"Merzig-Wadern, Landkreis",1.0167497619180998,5.398857206879167,7.779676208615764,26.215618172651396,27.858383283849648,23.560304744832223,6.162119769200605,0.2927006890370287,1.7155901630160775
"Neunkirchen, Landkreis",1.0824168174857303,5.8599006914473994,7.989929927142791,26.395656410970346,26.663650285396074,24.406004919021765,5.9225486101443225,0.15894009002737947,1.520952248364193
"Saarlouis, Landkreis",1.2591328302790754,5.419062163133309,7.857228410588095,27.16717570966583,26.298059647862022,23.221343873517785,6.7635345550365304,0.10031141454066356,1.9141513953766918
Saarpfalz-Kreis,1.1760745833248332,5.847732511883148,7.987719047716192,25.915461351720758,26.464228156429137,24.620045288561577,6.100695648626043,0.2152226687610926,1.6728207429772128
"Sankt Wendel, Landkreis",0.9450967019048083,5.552037154317079,7.070362611844562,26.373394391127132,28.320423507250613,24.353290787742974,5.657589191471395,0.1266624445851805,1.6011432097562561
"Dithmarschen, Landkreis",1.0925559706047512,7.193779144998658,8.98703581630411,28.78488244341903,26.64127542176323,21.12722478576137,4.378769012915354,0.09033423667570009,1.7041431675578016
"Herzogtum Lauenburg, Landkreis",1.2951230919681957,6.1881882733109395,7.4076278753348355,26.971384837790723,27.266465410944342,23.59794208937455,5.248522471193503,0.06888047961222842,1.9558654704706833
"Nordfriesland, Landkreis",1.2161821949377383,7.138292309777873,8.747603462633382,26.994209578403083,26.262176346418265,22.058795050061004,4.8889362278986,0.0929566008869609,2.600848228983094
"Ostholstein, Landkreis",1.3767050753157255,6.558711492563265,7.694374634485593,26.97298749743152,26.999857745744226,23.146348017133736,5.272891080658163,0.053740496625412935,1.9243839600423602
"Pinneberg, Landkreis",1.073588482195243,5.761723157467166,7.251094462246694,26.0115313444961,26.279505348196956,24.872500789818115,6.7224804802094145,0.11283115945299453,1.9147447759173173
"Plön, Landkreis",1.123651555777265,6.847914198416162,8.119972563447028,27.588701128640018,26.819230529400762,22.66508698634408,4.8587641080002495,0.10226351562012846,1.874415414354306
"Rendsburg-Eckernförde, Landkreis",1.0835788601417917,6.4186078629960415,8.121374643218857,27.007181659147406,27.181544056716696,22.753429702605654,5.373008931037657,0.1116379707209281,1.9496363134149712
