landkreis_id,landkreis,benzin_euro1,benzin_euro2,benzin_euro3,benzin_euro4,benzin_euro5,benzin_euro6,benzin_euro6d,benzin_euro6dt,benzin_sonstigeemissionsgruppen,diesel_euro1,diesel_euro2,diesel_euro3,diesel_euro4,diesel_euro5,diesel_euro6,diesel_euro6d,diesel_euro6dt,diesel_sonstigeemissionsgruppen,elektro_euro1,elektro_euro2,elektro_euro3,elektro_euro4,elektro_euro5,elektro_euro6,elektro_euro6dt,elektro_sonstigeemissionsgruppen,gas_euro1,gas_euro2,gas_euro3,gas_euro4,gas_euro5,gas_euro6,gas_euro6d,gas_euro6dt,gas_sonstigeemissionsgruppen,hybrid_euro1,hybrid_euro2,hybrid_euro3,hybrid_euro4,hybrid_euro5,hybrid_euro6,hybrid_euro6d,hybrid_euro6dt,hybrid_sonstigeemissionsgruppen,pih_euro2,pih_euro3,pih_euro4,pih_euro5,pih_euro6,pih_euro6d,pih_euro6dt,pih_sonstigeemissionsgruppen,sonstigeantriebe_euro1,sonstigeantriebe_euro2,sonstigeantriebe_euro3,sonstigeantriebe_euro4,sonstigeantriebe_euro5,sonstigeantriebe_euro6,sonstigeantriebe_euro6dt,sonstigeantriebe_sonstigeemissionsgruppen,anzahl_kfz,benzin,diesel,elektro,gas,hybrid,pih,sonstigeantriebe,euro1,euro2,euro3,euro4,euro5,euro6,euro6d,euro6dt,sonstigeemissionsgruppen,vee,anzahl_personen,unfaelle_je_10k_kfz,anzahl_kfz_je_person
1001,"Flensburg, kreisfreie Stadt",322,1713,1614,8827,6025,6231,14,1923,474,84,661,1571,2824,5366,4626,22,1095,197,0,0,0,0,0,0,0,144,0,48,44,141,32,16,0,2,0,0,0,0,21,69,142,4,172,0,0,0,0,11,53,2,51,0,0,0,1,6,7,0,0,1,44556,27143,16446,144,283,408,117,15,406,2422,3230,11819,11510,11068,42,3243,816,19384,88,83.2,0.5063181818181818
1002,"Kiel, kreisfreie Stadt",974,5120,4650,23965,16246,16077,104,4809,1185,365,1885,3599,5713,10849,9881,120,2592,468,0,0,0,0,0,0,0,352,10,101,91,352,103,76,0,10,11,0,1,0,41,222,453,5,401,0,0,0,0,10,118,7,131,1,0,0,0,7,10,0,0,1,111116,73130,35472,352,754,1123,267,18,1349,7107,8340,30078,27440,26605,236,7943,2018,20216,241,97.3,0.4610622406639004
1003,"Lübeck, kreisfreie Stadt",1028,4982,4402,22385,15201,14268,21,3921,1136,282,1409,3086,5055,9334,8519,39,2086,401,0,0,0,0,0,0,0,310,8,89,95,379,158,73,0,30,13,0,0,0,35,128,300,9,282,0,0,0,0,8,72,3,104,0,0,0,0,2,13,0,0,1,99667,67344,30211,310,845,754,187,16,1318,6480,7583,27856,24842,23232,72,6423,1861,21164,210,117.4,0.4746047619047619
1004,"Neumünster, kreisfreie Stadt",326,2164,2111,9438,5662,5540,37,1839,415,76,608,1476,2513,4578,3724,47,863,117,0,0,0,0,0,0,0,71,6,30,49,171,50,31,0,23,2,0,0,0,13,59,173,5,135,0,0,0,0,4,22,0,33,0,0,0,0,2,2,1,0,0,42416,27532,14002,71,362,385,59,5,408,2802,3636,12137,10355,9491,89,2893,605,20133,78,87.3,0.5437948717948718
10041,"Regionalverband Saarbrücken, Landkreis",2250,9945,11045,39122,27853,28838,203,8548,2872,241,1769,5408,10628,19263,15591,206,3588,459,0,0,0,0,0,0,0,384,9,80,116,390,128,74,0,13,4,0,0,0,79,425,999,26,707,0,0,0,0,8,125,1,184,0,1,1,1,4,15,0,0,6,191609,130676,57153,384,814,2236,318,28,2501,11795,16570,50223,47692,45627,436,13040,3725,21138,322,84.4,0.5950590062111801
10042,"Merzig-Wadern, Landkreis",638,3074,3236,13873,10041,9742,119,2867,935,85,758,2281,4708,9708,6715,73,1266,184,0,0,0,0,0,0,0,101,3,23,38,121,45,31,0,4,5,0,0,0,16,93,297,17,221,0,0,0,0,1,38,0,42,0,0,0,0,1,4,0,0,0,71404,44525,25778,101,270,644,81,5,726,3855,5555,18719,19892,16823,209,4400,1225,19975,102,62.0,0.7000392156862745
10043,"Neunkirchen, Landkreis",837,4293,4633,18221,13541,13893,90,3647,998,94,723,2206,4285,9140,6617,34,1077,184,0,0,0,0,0,0,0,126,2,35,47,218,104,43,0,11,3,0,0,1,24,171,437,12,243,0,0,0,0,3,47,1,127,0,0,0,0,4,24,0,0,0,86196,60153,24360,126,463,888,178,28,933,5051,6887,22752,22983,21037,137,5105,1311,20786,130,64.8,0.6630461538461538
10044,"Saarlouis, Landkreis",1494,6060,6684,28391,20109,20439,81,6906,1965,187,1119,3743,7626,14715,9968,39,1727,380,0,0,0,0,0,0,0,201,1,59,69,230,77,61,0,23,9,0,0,0,32,202,482,14,302,0,0,0,0,3,70,0,77,1,0,1,0,12,24,0,0,1,133584,92129,39504,201,529,1032,151,38,1682,7239,10496,36291,35130,31020,134,9035,2557,22117,192,62.7,0.69575
10045,Saarpfalz-Kreis,1029,4733,5166,20005,14807,15265,121,4017,1192,121,957,2608,5147,10832,8271,67,1582,239,0,0,0,0,0,0,0,207,3,43,57,235,110,70,0,16,0,0,0,0,17,164,478,21,289,1,0,0,0,4,53,2,77,0,0,0,0,3,28,0,0,1,98038,66335,29824,207,534,970,136,32,1153,5733,7831,25407,25945,24137,211,5981,1640,23319,140,70.7,0.7002714285714285
10046,"Sankt Wendel, Landkreis",506,2816,2648,12546,9715,9392,50,2575,751,74,572,1666,3506,7546,5307,20,737,149,0,0,0,0,0,0,0,85,2,31,40,172,84,32,0,7,1,0,0,0,12,82,236,8,148,0,0,0,0,4,30,0,17,0,0,0,0,5,9,0,0,0,61581,40999,19577,85,369,486,51,14,582,3419,4354,16241,17440,14997,78,3484,986,22933,86,61.5,0.7160581395348837
